track,label,baseline,group_type,group,n,baseline_smape,ispnet_smape,delta_smape,share_ispnet_better,baseline_r2,ispnet_r2,delta_r2
subnet_24h,"Mang con, 24h",transformer,missing_group,mid_missing,182,58.1634789805001,57.41959940573483,-0.4312825416193533,0.7142857142857143,0.21340744557857974,0.23680695836479562,-0.0006873082733221559
subnet_24h,"Mang con, 24h",transformer,missing_group,high_missing,180,64.97986065842667,62.866021589098494,-0.7114308375455956,0.7444444444444445,0.0347463995086441,0.04359450053002956,-8.842386509899658e-05
subnet_24h,"Mang con, 24h",transformer,volatility_group,low_cv,180,41.20233158050951,39.9490197580319,-0.3756623901295164,0.6555555555555556,0.1677697698667666,0.17029688297872053,-0.005430851879927118
subnet_24h,"Mang con, 24h",transformer,volatility_group,mid_cv,182,66.46388639469859,65.26940963445185,-0.7189884302048384,0.7912087912087912,0.19184753943750077,0.2678900321895502,0.010708467497070119
subnet_24h,"Mang con, 24h",transformer,volatility_group,high_cv,182,72.62640809136768,70.93640452053576,-0.6859021340084155,0.7527472527472527,-0.001432542019838367,0.0075986862997937665,-9.931126349199682e-06
subnet_168h,"Mang con, 168h",transformer,traffic_group,low,179,57.123493641833534,52.54198917488241,-2.4537943378525426,0.7877094972067039,-0.02838434051361729,-0.012636200294358683,0.002131962228801647
subnet_168h,"Mang con, 168h",transformer,traffic_group,mid,180,82.7455877556659,79.98937121905377,-0.9079048927636748,0.6611111111111111,0.04863095759577274,0.06306321565744888,-0.00017039043022739958
subnet_168h,"Mang con, 168h",transformer,traffic_group,high,181,58.83322298637552,58.63931493721509,0.7206177566443515,0.3701657458563536,0.12963050843013876,0.1254726732566427,-0.031556129236552044
subnet_168h,"Mang con, 168h",transformer,missing_group,low_missing,182,63.94965434100446,60.57832953601421,-0.9541264867891499,0.5769230769230769,-0.003987566926915916,-0.0024413063518774003,-0.0004018480525228331
subnet_168h,"Mang con, 168h",transformer,missing_group,mid_missing,182,66.13267114357532,65.75919195881872,-0.1701251265505448,0.554945054945055,0.12666054624846573,0.1294956062528055,-0.008963803020240968
subnet_168h,"Mang con, 168h",transformer,missing_group,high_missing,180,72.66411715062881,71.8531337904802,-1.57623971717873,0.6944444444444444,-0.010796870276501433,-0.0052978014798945,0.0003590995166460331
subnet_168h,"Mang con, 168h",transformer,volatility_group,low_cv,180,48.711644774591534,47.11580800198165,-0.19874831858734865,0.5333333333333333,0.009528739386687734,0.02685314629370843,-0.014518754803925598
subnet_168h,"Mang con, 168h",transformer,volatility_group,mid_cv,182,77.80412270150387,75.71392739949147,-0.7040553909015124,0.6263736263736264,0.11566682160306255,0.13486894144100725,-0.0010533488401128395
subnet_168h,"Mang con, 168h",transformer,volatility_group,high_cv,182,80.94424213552807,78.43744286137473,-1.0099283086696698,0.6648351648351648,-0.007504853356246466,-0.004791213002772166,-0.0002203987248002668
