id_institution_subnet,model,test_SMAPE,test_R2,test_RMSE,normal_SMAPE,normal_R2
24,MA-168,33.343675153914006,0.13327786205237813,4002852.55231919,32.67353501134204,0.12852451709253498
25,Mean,51.10116152368974,-0.3078629883766899,272192.1659866141,51.71043456666654,-0.48761308298921935
25,SN-24,32.4198794906652,0.3683581006854473,189160.28603923813,30.742882955860868,0.3241376884847299
25,SN-168,40.905179100711756,0.05820377191522974,230979.25171016867,37.57214471502277,0.10801876242900221
25,MA-24,24.51747299118245,0.6151004300631118,147661.81748411292,24.013124802588905,0.5689319935776143
25,MA-168,32.05976892182933,0.46255917384259015,174485.69342697356,29.92225038490516,0.43580011117016193
26,Mean,66.69406988629801,-0.001020362701543931,290969734.40308553,58.214864144148514,-0.0011630113108387352
26,SN-24,51.00730065979402,-1.001475335465285,411435236.26839113,51.59093415078432,-1.0018249905867411
26,SN-168,59.60643278125889,-1.0012925088522993,411416444.3734211,54.693149282969436,-0.9975767382742975
26,MA-24,44.965327775859684,-0.001119854418676569,290984193.82884216,46.313548220360005,-0.001265816498051242
26,MA-168,48.47176178820482,-0.0012245182184484893,290999404.1532109,46.40028184427777,-0.001376249412389452
27,Mean,103.30500166866052,-0.017452109182738873,131285846.6730403,100.44666740655252,-0.017691982922776406
27,SN-24,97.15632386021662,-0.9598241412982906,182208852.31411704,95.79164399905108,-0.9665081258644515
27,SN-168,97.85824330344684,-0.9352179761556567,181061396.56785637,94.63967377582861,-0.9470158096295307
27,MA-24,93.63745699092082,-0.011180384632278884,130880588.54915042,92.16844540877958,-0.011136988127572467
27,MA-168,99.5616430667133,-0.01726104847897414,131273519.43733369,97.50879773643648,-0.01732869710209939
28,Mean,144.4447344914648,-0.07864024208244613,167151839.86079618,141.02639378713,-0.08789549354417092
28,SN-24,106.03958373879003,-0.5173142568815918,198248824.58071354,113.92620340819211,-0.5104942045942926
28,SN-168,111.63769691265632,-0.7576692145064774,213373963.69667408,116.9933360114334,-0.7647228221489526
28,MA-24,126.03676948951691,-0.07640589987596447,166978627.32687366,136.49037292826415,-0.08539730231192322
28,MA-168,131.5509139295794,-0.07924507005031711,167198696.97562665,139.5475257183617,-0.08830344738012208
29,Mean,39.19789846704555,-0.04562234235467044,400989669.63880974,35.75840945105418,-0.0369002964768379
