id_institution,model,test_RMSE,test_SMAPE,test_R2,test_n_obs,normal_RMSE,normal_SMAPE,normal_R2,outage_RMSE,outage_SMAPE,outage_R2,outage_n_obs
12,MA-168,822259924.8747633,84.55134026505638,-0.08770603092462115,4028,852683513.4624768,82.14555749282775,-0.09043116761754733,581655398.7299365,100.49876394460233,-0.10741044600500205,528
13,Mean,855655711.0927081,115.82347601563757,-0.054423825066252984,4029,914070035.2780911,115.12222890298752,-0.058894954013235745,216065940.14101306,120.47322249553866,-0.0665732514640538,528
13,SN-24,1060430505.5887508,96.92106298563424,-0.6195021500552509,4029,1133422944.8351471,96.98160860483807,-0.6280882221132158,250420678.043187,96.51960424920894,-0.432710483536088,528
13,SN-168,1017799822.7937514,88.02800148241707,-0.49190732213802946,4029,1080399326.1713426,86.83051408530437,-0.4793214124098304,406203711.44414335,95.96815939395411,-2.769691748071102,528
13,MA-24,849034810.3344877,105.93101010832642,-0.03816909625873821,4029,906920598.3859957,105.27032227423815,-0.04239535145110884,216530290.47449806,110.31182091730945,-0.0711625526162174,528
13,MA-168,853384043.310647,113.95441635539949,-0.04883250842617737,4029,911610343.959793,113.8397636166078,-0.053203813733017524,216414332.70340827,114.71464218591028,-0.07001558733007562,528
14,Mean,505888948.5258181,121.69873197872316,-0.12292146046221575,4030,523815561.77051616,119.61732287866278,-0.1258350757413449,365365779.4858125,135.50383551738113,-0.11210046240798932,528
14,SN-24,618685152.7213166,99.64093178817477,-0.6794937247830213,4030,643905118.7570457,99.68721828483477,-0.7012249256325451,414214476.23846763,99.33393309252467,-0.42935080314821783,528
14,SN-168,607888609.1680743,93.5733219491151,-0.6213882025230246,4030,615440278.0136744,92.42358927881438,-0.5541388369069948,555207770.0824614,101.1990109858445,-1.5680256377484425,528
14,MA-24,496216424.1834263,111.68808275516706,-0.0803917702175787,4030,512529527.5841686,109.60589394933807,-0.07784364059023763,370252011.3641996,125.49835775140426,-0.14204479109490542,528
14,MA-168,506840410.08176154,120.53624036842925,-0.12714935010826256,4030,524207476.93552274,118.55385459698033,-0.1275203899434898,371648299.71991795,133.68456417830458,-0.1506747544939604,528
15,Mean,385511727.6809719,115.36922864652135,-0.08050022902434817,4030,409021742.9466353,111.29460145317758,-0.08464090313515005,157245454.48210683,142.3945021902522,-0.09054619134223696,528
15,SN-24,467193510.7572081,100.04623076809176,-0.5868770469282361,4030,496813359.760589,100.29309631547588,-0.6002200953717631,169955719.01235119,98.40887632313127,-0.27397067579797096,528
15,SN-168,474060091.91462,92.50990514534107,-0.6338661206049288,4030,496693753.04726976,89.90860471096383,-0.5994496892495214,281076352.5605787,109.76322734456272,-2.484468024848944,528
15,MA-24,377025532.68666875,109.31994843968644,-0.03345411561686196,4030,399616186.8874279,106.92280971511359,-0.035331269837602486,160563824.79302588,125.21915263183449,-0.13705972000918876,528
15,MA-168,385243234.0253164,114.41832900840146,-0.0789957018651204,4030,408563642.972625,111.69437059327709,-0.08221269127924469,160096107.33685318,132.48518955719973,-0.13044492880159364,528
16,Mean,277647065.5802589,108.12887239209819,-0.16870629894274258,4030,280361227.72631276,106.50394798462075,-0.1856354775934561,258926034.44444606,118.90630662502615,-0.07730139943357983,528
16,SN-24,280726042.0325354,91.52460567638691,-0.19477083927282823,4030,279180574.9190553,90.37728029889638,-0.17567064466562243,290768624.4718041,99.1343281611821,-0.35856639534386847,528
16,SN-168,244611005.61326504,82.7350832979536,0.0928665215606711,4030,239927562.10098875,79.74877357127947,0.1316884812948812,273652896.9381691,102.54200879570507,-0.20333315845445554,528
16,MA-24,271269104.28642696,100.97803495116999,-0.11562920790663322,4030,273607437.8169792,100.5265863037269,-0.12920054288303184,255218223.65087506,103.97230230599155,-0.04666848354711006,528
16,MA-168,281079128.24727875,106.86787883273057,-0.19777820123854384,4030,283573979.3361312,105.2070165399122,-0.2129643453219665,263935594.9178338,117.88367381274931,-0.11939074562677643,528
17,Mean,587243256.7350037,83.09644247123516,-0.01637429615727415,4030,614518994.6556003,80.17302306475528,-0.030276227640394726,356995460.4501846,102.48624315588017,-0.15231251609720986,528
17,SN-24,625463521.7873956,79.8928077472293,-0.15297945351534104,4030,658801777.2787212,78.6265907766966,-0.18411144989320682,327459606.53703564,88.29108772981559,0.030471984271811192,528
17,SN-168,658929030.4405273,79.9423049018868,-0.2796608392157349,4030,672464638.8652546,76.626666490427,-0.23373521372063144,560945931.3804151,101.93352785062197,-1.845030302960526,528
17,MA-24,556487231.6599725,79.09656773248109,0.08730009673309269,4030,584065229.5879921,78.1133863512773,0.06930846944444113,317893037.9826262,85.61759272675319,0.08629305644106589,528
17,MA-168,596946617.2396858,81.51613206595763,-0.050240077986981824,4030,626333872.7703243,79.18188680194753,-0.07027370402801392,343382804.93308026,96.99819061626722,-0.06610990787253423,528
18,Mean,148464410.61231378,126.79543573745906,-0.20489164387470038,4030,154812204.19048458,123.4205447298702,-0.221311399831291,96296738.86003482,149.17965601885345,-0.10899815790627132,528
18,SN-24,157221418.81748617,101.2476447130933,-0.3512219694362324,4030,163864247.17828462,101.55605705405115,-0.3683097981786523,102819459.0433405,99.20207649711902,-0.26432374519121216,528
18,SN-168,152420598.19816798,98.70893596070104,-0.2699616280963313,4030,154690356.41204625,96.51973892865617,-0.21938964542948725,136413654.0514958,113.22895112399864,-1.225478228011966,528
18,MA-24,143254775.13550428,122.84263665289082,-0.12181563874312218,4030,149439593.24126646,121.13970826440521,-0.13801340097308779,92278028.42671609,134.1374381992481,-0.018366909953669408,528
18,MA-168,145380605.638602,124.63849039930639,-0.15535706110558856,4030,151590776.71303692,122.19375040821147,-0.17101262954338203,94358033.54893294,140.85341359781847,-0.06479359036499122,528
19,Mean,711644672.0767667,110.8000377896034,-0.03925332884918631,4030,706635531.0253165,110.46138567003425,-0.042551427466495984,744015041.6933547,113.04617362810924,-0.02183915208192677,528
19,SN-24,997889865.2614018,92.68500028981673,-1.0434322514437024,4030,1016071484.1701665,92.86279780944695,-1.155534964766423,867708845.7414385,91.50574477136028,-0.3898475216547703,528
19,SN-168,1004849477.5724955,82.48531237665733,-1.0720347845454392,4030,1019343650.9744779,81.71281180454787,-1.1694407327718848,902845109.2385504,87.60898094394408,-0.5046850531375144,528
19,MA-24,709120737.4919324,101.44609510766294,-0.0318947238766889,4030,704887476.6774344,101.66397745294051,-0.03739974083149833,736582600.3726872,100.00097394637109,-0.0015255168398318197,528
19,MA-168,712084755.3971925,108.76811640650071,-0.04053908138696305,4030,707064757.0588158,108.56907707014717,-0.04381834966895637,744524021.6577065,110.08825988360311,-0.023237708628528475,528
20,Mean,222853264.52181885,120.81118084024736,-0.14418472770957091,4028,233333189.86537632,120.55137066248602,-0.15924596028823168,134062181.53681701,122.53340739737737,-0.053627149850445255,528
20,SN-24,277488313.5605772,95.66659078678262,-0.7739751869052163,4028,290128156.930083,94.58362899141542,-0.7922653674741054,171583721.47308663,102.84531480910304,-0.7259434200904111,528
20,SN-168,277026313.386199,97.01486977916706,-0.768072995466248,4028,291312371.0868423,96.69236899742255,-0.8069261821249798,151401232.97701088,99.15265905209463,-0.34379559315515307,528
20,MA-24,209670532.09041154,95.81782174269094,-0.012821566889873681,4028,218636412.45166045,92.21956849015021,-0.017811936165662345,136037495.04717728,119.669879287942,-0.08490482659533649,528
20,MA-168,214885796.3807642,101.08862666020089,-0.06383326567484482,4028,224321050.33035898,97.86303304912968,-0.07142706848375391,136769960.2060137,122.47040249116512,-0.09661916037989915,528
21,Mean,2795684032.444207,92.24743523340864,-0.019695487318079463,4029,2994352850.582221,94.38440181531001,-0.022195266388879586,414634307.3872026,78.04694762464464,-0.008651862676247069,527
21,SN-24,3703749540.2323933,71.66234372292455,-0.7896889081791361,4029,3965326257.497149,71.27909343800476,-0.7926097974510782,622273044.6551986,74.2091036807787,-1.2718141793250344,527
21,SN-168,3777386236.8372846,74.3883515071906,-0.8615603173036002,4029,4039967757.114445,72.14004576934462,-0.8607315099970887,792573489.3514562,89.32870576513486,-2.6854448051300572,527
21,MA-24,2793526820.5980773,79.83177937264662,-0.0181224551078476,4029,2992036153.3067207,80.68647048759988,-0.02061415620314344,414611224.3834735,74.15221906037665,-0.00853956098673625,527
