id_institution,test_SMAPE,test_R2,test_R2_clip,test_RMSE,test_R2_norm,test_Harmonic,test_RMSE_mm,test_R2_mm,test_Harmonic_mm,testall_RMSE_mm,testall_R2_mm,testall_Harmonic_mm,paper_RMSE,paper_R2,paper_Harmonic,test_n_obs,paper_n_pts,outage_SMAPE,outage_R2,outage_RMSE,outage_Harmonic,outage_RMSE_mm,outage_Harmonic_mm
18,91.99541764453791,0.23864779782268508,0.23864779782268508,0.40507852339982975,0.48576972465401125,0.45317447392828725,0.033405470982649586,0.23864779782268508,0.06400272625563333,0.032046271934047674,0.24791937726335522,0.0614731628677734,0.03204558409262884,0.24791937726335578,0.06147189733091334,3480,4008,88.40411291224333,0.2914823353059173,0.4107531573330164,0.36459739168354693,0.0209910324093325,0.04077406430171658
19,68.06564221568266,-0.0028024333838452264,-0.0028024333838452264,0.4134262069709641,0.5181909770968833,0.44500589381684474,0.08772486511107712,-0.0028024333838452264,0.16133609552565883,0.08854136240763569,-0.00480006046978132,0.16274214886532087,0.08495791255963513,-0.00457426326514776,0.1566663827133557,3480,4008,68.81748029520202,-0.018487782585723478,0.4156921076941239,0.4593324039460472,0.09374509274413169,0.1716874833590001
20,83.42471745071559,0.03891281726981799,0.03891281726981799,0.428321643980284,0.3394289134173114,0.5196781755070722,0.14736634428550233,0.038912817269817546,0.25554865622543227,0.14072460219362012,0.05095191158285328,0.24510508632817282,0.0815130633389751,0.09678150079102821,0.14953132312415376,3478,4008,88.49976458772858,0.11885223442991766,0.44140009633178173,0.46738590867925023,0.08484955046830102,0.15479337377744562
21,73.36871001466795,-0.022236189119496652,-0.022236189119496652,0.7473370861065047,0.033513560720406343,0.842900273678927,0.057483597222599596,-0.022236189119496874,0.10884641386592561,0.05364751697743591,-0.019709488226291816,0.10193231481503072,0.0533817740467457,-0.019825916412728795,0.10145308707888984,3480,4008,72.7629880409425,-0.008612794333132223,0.5467084351237791,0.6519184651486528,0.007935240633310104,0.015746595248955306
22,32.88977031298924,0.46085101304832365,0.46085101304832365,0.37694118444094643,0.6468993535521822,0.3646316423727899,0.04205246559417335,0.46085101304832365,0.07801957178395111,0.041959309622721784,0.4564096176852773,0.07790518028968191,0.04174499820826151,0.4564096176852772,0.07753564978587603,3480,4008,40.128829119036276,0.22139442349268323,0.4612121431658203,0.45848158333178446,0.04134007620883651,0.0785115788169931
23,27.564011906771242,0.7432022743847944,0.7432022743847944,0.3063495158163535,0.7922652842968041,0.24758366692483097,0.0896394079295396,0.7432022743847944,0.13289104344137104,0.08898328611502614,0.7330158434684068,0.13347921603276605,0.08773708816922324,0.7330454876622343,0.13206860017362623,3480,4008,30.835867000255224,0.4635756346952342,0.44999820066147506,0.46323200781168583,0.08453154572095008,0.14604831021477643
24,48.54751924700664,0.008421124372987032,0.008421124372987032,0.7345093048307564,0.10844626352208175,0.8054478806339815,0.04791114002265656,0.008421124372987143,0.09140573480926109,0.04587657510511722,0.028015855954214186,0.08761769217795835,0.045808453046324776,0.028015855954214297,0.08749344444340465,3480,4008,65.49124591028134,-0.04120123716994373,1.0353752030283392,0.9520389851951409,0.02910328776683653,0.05662384587289857
25,51.55244635068236,0.1325235001917785,0.1325235001917785,0.7621190499879414,0.40001918792668956,0.671399827933824,0.031547347484104,0.1325235001917785,0.06088065996506488,0.030694023937068743,0.1413804313746725,0.05926928321490228,0.030686641190357855,0.1413804313746725,0.05925551925896502,3480,4008,62.76508318339851,0.15911376359303764,1.0154787610257319,0.83769274968251,0.024332417848730505,0.0472962416306247
26,45.60906141827841,0.18089774479345588,0.18089774479345588,0.5004085423918901,0.3512918966482593,0.5649889028036499,0.07039952707216686,0.180897744793456,0.12965552748542514,0.11318378105319651,0.6624296086834478,0.16952696437593184,0.11153187945638789,0.6680879798850029,0.1669603368244457,3480,4008,44.26177180370286,0.41108375204773817,0.656544416341223,0.5257714280145189,0.2541233916710152,0.3550423664696803
27,33.24085682479054,0.35469196277390025,0.35469196277390025,0.49032052753862015,0.4632937150509556,0.5124658978125153,0.07143610902729092,0.35469196277390036,0.12863249890337752,0.07221310838861532,0.3583331094051997,0.12981666606682601,0.0709628601123602,0.3635013937795646,0.12768967273670764,3480,4008,49.48826578898445,0.18634237194220404,0.7358349944798205,0.7191885543986668,0.07713870396485677,0.14091772191514093
28,46.81049784795018,0.1277124737282629,0.1277124737282629,0.6165811197472868,0.2547226186495497,0.6748483222669365,0.09582080374363171,0.127712473728263,0.1726734276970331,0.0917493167863162,0.142766044657758,0.1657576735831597,0.07824464005502998,0.18393630226614066,0.1427977523927227,3480,4008,60.00905859367077,0.14750611069227249,0.8213309621762067,0.7933391341375825,0.058176716865418504,0.10892038304863334
